Population,Sample,Species,Bioproject,biosample,group_a,group_b,Site,Location,Alias,BP_max,BP_min,BP_median,Age ,Period,Lat,Long,Sex,reference,Path
DOM2,Berel_BER08_H,horse,PRJEB19970,SAMEA103910517,,Scythian,Berel',Kazakhstan,Berel_BER08_H_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/H_Ch78_CGG_1_016175.Horse_nuc_wY.realigned.r.t.t.bam
DOM2,Berel_BER09_I,horse,PRJEB19970,SAMEA103910518,,Scythian,Berel',Kazakhstan,Berel_BER09_I_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/I_Ch118_CGG_1_016176.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER10_K,horse,PRJEB19970,SAMEA103910519,,Scythian,Berel',Kazakhstan,Berel_BER10_K_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/K_Ch137_CGG_1_016177.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER11_L,horse,PRJEB19970,SAMEA103910520,,,Berel',Kazakhstan,Berel_BER11_L_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/L_Ch102_CGG_1_016178.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER12_M,horse,PRJEB19970,SAMEA103910521,,Scythian,Berel',Kazakhstan,Berel_BER12_M_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/M_Ch112_CGG_1_016179.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berufjordur_VHR102,horse,PRJEB31613,SAMEA5408164,,Viking,Berufjordur,Iceland,Berufjordur_VHR102_1057,1150,850,1000,917-1217,Middle Ages,65.53,-22.117,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR102_CGG_1_020961_i54_ACCATC_U.r.t.3p1.bam
DOM2,Boves_GVA191,horse,PRJEB31613,SAMEA5408174,,Gallo-roman,"Boves, chemin de Glisy",France,Boves_GVA191_1717,1750,1550,1650,1617-1817,Roman period,49.8534339,2.3969306,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA191_CGG_1_019765.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,BozAdyr_KYRH10,horse,PRJEB31613,SAMEA5408175,,,Boz-Adyr,Kyrgyzstan,BozAdyr_KYRH10_1267,,,1150,1217,Middle Ages,39.9983333,71.0733333,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/KYRH10_CGG_1_018031.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,BozAdyr_KYRH8,horse,PRJEB31613,SAMEA5408176,,,Boz-Adyr,Kyrgyzstan,BozAdyr_KYRH8_1267,,,1150,1217,Middle Ages,39.9983333,71.0733333,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/KYRH8_CGG_1_018029.Horse_nuc_wY.realigned.r.t.m.5p2.3p1.bam
DOM2,BroughOfDeerness_VHR010,horse,PRJEB31613,SAMEA5408177,,Pictish,Brough Of Deerness,United Kingdom,BroughOfDeerness_VHR010_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR010_CGG_1_020949_i74_GTGGGG_U.r.t.s.5p1.3p2.bam
DOM2,BroughOfDeerness_VHR011,horse,PRJEB31613,SAMEA5408178,,Pictish,Brough Of Deerness,United Kingdom,BroughOfDeerness_VHR011_1367,1350,1250,1300,1317-1417,Middle Ages,58.964099,-2.704933,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR011_CGG_1_020950_i76_TCAGCT_U.r.t.bam
DOM2,BroughOfDeerness_VHR037,horse,PRJEB31613,SAMEA5408179,,Pictish,BroughOfDeerness,United Kingdom,BroughOfDeerness_VHR037_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR037_CGG_1_020957_i60_ATTAAA_U.r.t.5p2.3p1.bam
DOM2,BroughOfDeerness_VHR062,horse,PRJEB31613,SAMEA5408180,,Pictish,BroughOfDeerness,United Kingdom,BroughOfDeerness_VHR062_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR062_CGG_1_020959_i75_TAGTAA_U.r.t.3p1.bam
DOM2,Bruszcewo_Bru4,horse,PRJEB31613,SAMEA5408181,,,Bruszcewo,Poland,Bruszcewo_Bru4_3917,4150,3550,3850,3617-4217,Bronze Age,52.007,16.562,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Bru4_CGG_1_018376.Horse_nuc_wY.realigned.r.t.s.m.bam
DOM2,CaminoDeLasYeseras_CdY2,horse,PRJEB31613,SAMEA5408182,,pre Bell-Beaker,"Camino de las Yeseras, Madrid",Spain,CaminoDeLasYeseras_CdY2_4678,4794,4429,4612,4496-4861,Copper Age,40.4421,-3.49408,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/CdY2_CGG_1_018391.Horse_nuc_wY.realigned.r.t.m.bam
