sample	type	old_group	mapped	mapped_q30	new_group	age	period	neolithic	status	internal	external
AA379	Lib	24	1.803067958	0.610163682	17	6683 +/- 37	Neolithic	Y		8	47
VEM184	Lib	23	2.730780647	0.593647967	17		Neo/Bronze Transition	Y		None	22
LG426	Lib	24	0.931027808	0.517452739	17	4500-3600 cal. BC		W	Wild	8	36
GL948	Ext	2	81.4254458	61.58380801	18		Modern		Unknown		
GL945	Ext	5	82.97471608	51.57705178	18		Modern		Wild		
BLT024	Ext	1	56.69706724	36.83282666	18		Mesolithic	W	Wild		
AA212	Ext	5	31.17748882	14.20573116	18	second half of the 6th millennium BC	Copper Age?	N		2	35
AA139	Ext	10	22.28261108	11.1546259	19	2500 cal. BC?	Neolithic	Y	Domestic	2	30
BLT014	Ext	5	13.98445332	6.728628134	19		Neolithic	Y	Metric Domestic		
AA442	Ext	11	10.88763026	4.797488029	19	1000-1250	Norse Period	N	Domestic	5	33
AA129	Ext	10	11.34891735	3.752661023	19		Middle Neolithic	Y		5	29
AA211	Ext	13	14.37297956	3.616934186	20	second half of the 6th millennium BC	Copper Age?	N		1	35
AA141	Ext	13	9.187730077	2.953110457	20	5th Millennium BC?		W	Wild	4	30
AA157	Ext	6	9.036145962	2.910705552	20	Mid 5th Millennium BC	Neolithic	W	Wild	7	31
AA217	Ext	18	13.48225606	2.827453839	20	second half of the 6th millennium BC	Copper Age?	N		7	35
GL454	Ext	6	10.25018365	2.673857731	21	2,600-1,800 BC cal?	Chalcolithic/Early Bronze	N	Wild?	9	41
AA443	Ext	12	7.566476194	2.663973385	21	850-1250	Norse Period	N	Domestic	6	33
GL128	Ext	11	28.17556285	2.633996606	21	9th-8th mil BC cal	Mesolithic	W	Wild	12	37
AA137	Ext	17	9.311264787	2.607872931	21	2500 cal. BC?	Neolithic	Y	Domestic	13	29
AA149	Ext	19	10.48983905	2.594975143	22	5th Millennium BC?	Neolithic	W	Wild	12	30
BLT010	Ext	9	9.43509855	2.419697234	22	5318-5078 cal. BC	Neolithic	Y	Domestic		
GL126	Ext	16	41.51677651	2.384724382	22	6th millennium BC		W	Wild	11	37
GL527	Ext	12	32.36075706	2.351867097	22	1st-5th cent AD	Roman	W	Wild	13	41
GL470	Ext	14	30.49021161	2.203833163	23	c.4,200-3,500 BC cal	Mid Neolithic	W	Wild	11	41
BLT027	Ext	19	12.98725855	1.772072656	23		Mesolithic	W	Wild		
GL333	Ext	14	22.27281545	1.564241681	23	2,600-1,800 BC cal?	Chalcolithic/Early Bronze	W	Wild	2	41
BLT009	Ext	14	12.61761956	1.532008809	23	6200 BC?	Neolithic	W	Wild		
AA213	Ext	15	9.791690093	1.41262791	24	second half of the 6th millennium BC	Copper Age?	N		3	35
GL210	Ext	19	4.068402092	1.395364175	24	8435-8645 cal BC		W	Wild	13	37
GL438	Ext	17	21.21772406	1.351557529	24	14th-15th cent. AD		W	Wild	8	41
BLT006	Ext	16	9.180646992	1.20556032	24	8249-7964 cal. BC	Mesolithic	W	Wild		
