Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA344	4200	114454	3.669596519	1.745679487	11	0.066	49.57456029	15.05918073	54.39418622	13.01451127	1	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA344_trim_adRm.fq.gz
AA345	1181	288206	0.409776341	0.128380395	0	0.0999	36.42427093	20.93154599	65.90574755	14.04102344	2	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA345_trim_adRm.fq.gz
AA346	77029	1268028	6.074708129	3.903541562	409	0.0117	64.36406626	12.04794913	63.68384567	11.79845913	3	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA346_trim_adRm.fq.gz
AA348	373369	1206652	30.94255842	21.7126396	109	0.0124	48.61839379	13.27747999	53.10741522	14.31318669	4	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA348_trim_adRm.fq.gz
AA349	551640	712571	77.41544351	52.91374474	319	0.0206	58.89603007	13.84778998	60.27664566	13.78813152	5	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA349_trim_adRm.fq.gz
AA350	7508	225656	3.327188287	1.102563194	5	0.3169	44.45252486	22.25359394	55.34651128	14.64467157	6	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA350_trim_adRm.fq.gz
AA351	3688	400442	0.920982315	0.213514067	1	0.3238	35.75621492	19.7796098	56.20748006	14.82022938	7	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA351_trim_adRm.fq.gz
AA352	2384	724913	0.32886705	0.118083135	65	0.0931	35.92830712	18.73036084	60.4476777	14.44906666	8	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA352_trim_adRm.fq.gz
AA353	1761	554025	0.317855692	0.112810794	5	0.0318	34.10029326	19.75994208	55.04296991	14.35340937	9	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA353_trim_adRm.fq.gz
AA354	3799	243736	1.558653625	0.610496603	8	0.1295	40.4702147	21.01035247	49.41656526	14.64395849	10	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA354_trim_adRm.fq.gz
AA355	3683	129416	2.845861408	0.926469679	2	0.072	40.17407841	17.6750944	51.55143204	15.36558294	11	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA355_trim_adRm.fq.gz
AA356	3430	127198	2.69658328	0.687117722	1	0.2134	33.38732394	20.35269518	48.13414673	15.54893007	12	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA356_trim_adRm.fq.gz
AA357	7772	535637	1.450982662	0.764510293	98	0.0171	41.44364446	13.56103757	50.57103028	12.15280083	13	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA357_trim_adRm.fq.gz
AA344	4200	114454	3.669596519	1.745679487	11	0.066	49.57456029	15.05918073	54.39418622	13.01451127	1	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA344_trim_adRm.fq.gz
AA345	1181	288206	0.409776341	0.128380395	0	0.0999	36.42427093	20.93154599	65.90574755	14.04102344	2	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA345_trim_adRm.fq.gz
AA346	77029	1268028	6.074708129	3.903541562	409	0.0117	64.36406626	12.04794913	63.68384567	11.79845913	3	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA346_trim_adRm.fq.gz
AA348	373369	1206652	30.94255842	21.7126396	109	0.0124	48.61839379	13.27747999	53.10741522	14.31318669	4	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA348_trim_adRm.fq.gz
AA349	551640	712571	77.41544351	52.91374474	319	0.0206	58.89603007	13.84778998	60.27664566	13.78813152	5	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA349_trim_adRm.fq.gz
AA350	7508	225656	3.327188287	1.102563194	5	0.3169	44.45252486	22.25359394	55.34651128	14.64467157	6	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA350_trim_adRm.fq.gz
AA351	3688	400442	0.920982315	0.213514067	1	0.3238	35.75621492	19.7796098	56.20748006	14.82022938	7	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA351_trim_adRm.fq.gz
AA352	2384	724913	0.32886705	0.118083135	65	0.0931	35.92830712	18.73036084	60.4476777	14.44906666	8	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA352_trim_adRm.fq.gz
AA353	1761	554025	0.317855692	0.112810794	5	0.0318	34.10029326	19.75994208	55.04296991	14.35340937	9	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA353_trim_adRm.fq.gz
AA354	3799	243736	1.558653625	0.610496603	8	0.1295	40.4702147	21.01035247	49.41656526	14.64395849	10	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA354_trim_adRm.fq.gz
AA355	3683	129416	2.845861408	0.926469679	2	0.072	40.17407841	17.6750944	51.55143204	15.36558294	11	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA355_trim_adRm.fq.gz
AA356	3430	127198	2.69658328	0.687117722	1	0.2134	33.38732394	20.35269518	48.13414673	15.54893007	12	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA356_trim_adRm.fq.gz
AA357	7772	535637	1.450982662	0.764510293	98	0.0171	41.44364446	13.56103757	50.57103028	12.15280083	13	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA357_trim_adRm.fq.gz
AA344	4200	114454	3.669596519	1.745679487	11	0.066	49.57456029	15.05918073	54.39418622	13.01451127	1	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA344_trim_adRm.fq.gz
AA345	1181	288206	0.409776341	0.128380395	0	0.0999	36.42427093	20.93154599	65.90574755	14.04102344	2	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA345_trim_adRm.fq.gz
AA346	77029	1268028	6.074708129	3.903541562	409	0.0117	64.36406626	12.04794913	63.68384567	11.79845913	3	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA346_trim_adRm.fq.gz
AA348	373369	1206652	30.94255842	21.7126396	109	0.0124	48.61839379	13.27747999	53.10741522	14.31318669	4	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA348_trim_adRm.fq.gz
AA349	551640	712571	77.41544351	52.91374474	319	0.0206	58.89603007	13.84778998	60.27664566	13.78813152	5	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA349_trim_adRm.fq.gz
AA350	7508	225656	3.327188287	1.102563194	5	0.3169	44.45252486	22.25359394	55.34651128	14.64467157	6	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA350_trim_adRm.fq.gz
AA351	3688	400442	0.920982315	0.213514067	1	0.3238	35.75621492	19.7796098	56.20748006	14.82022938	7	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA351_trim_adRm.fq.gz
AA352	2384	724913	0.32886705	0.118083135	65	0.0931	35.92830712	18.73036084	60.4476777	14.44906666	8	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA352_trim_adRm.fq.gz
AA353	1761	554025	0.317855692	0.112810794	5	0.0318	34.10029326	19.75994208	55.04296991	14.35340937	9	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA353_trim_adRm.fq.gz
AA354	3799	243736	1.558653625	0.610496603	8	0.1295	40.4702147	21.01035247	49.41656526	14.64395849	10	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA354_trim_adRm.fq.gz
AA355	3683	129416	2.845861408	0.926469679	2	0.072	40.17407841	17.6750944	51.55143204	15.36558294	11	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA355_trim_adRm.fq.gz
AA356	3430	127198	2.69658328	0.687117722	1	0.2134	33.38732394	20.35269518	48.13414673	15.54893007	12	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA356_trim_adRm.fq.gz
AA357	7772	535637	1.450982662	0.764510293	98	0.0171	41.44364446	13.56103757	50.57103028	12.15280083	13	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA357_trim_adRm.fq.gz
AA154	498	97726	0.509588032	0.056279803	0	0.4096	24.53401361	14.28657928	70.8045159	9.285166991	4	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA154_trim_adRm.fq.gz
AA155	382	38666	0.987948068	0.235348885	2	0.2147	32.77	20.36991765	72.62328945	7.891173847	5	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA155_trim_adRm.fq.gz
AA156	1532	239278	0.640259447	0.307174082	2	0.0437	45.44095563	18.48325085	59.15732972	13.93938305	6	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA156_trim_adRm.fq.gz
AA157	31790	347069	9.159561931	5.556531986	111	0.0354	53.84233353	15.50312864	58.8857882	14.70071826	7	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA157_trim_adRm.fq.gz
AA158	1371	430892	0.318177177	0.095847683	4	0.0131	29.6504065	15.68683073	56.8710203	15.04202585	8	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA158_trim_adRm.fq.gz
AA159	818	217775	0.375617036	0.044082195	1	0.2372	27.16025641	17.34625074	65.33506602	12.03188275	9	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA159_trim_adRm.fq.gz
AA160	1761	240217	0.733087167	0.156941432	12	0.234	30.4381023	16.84340694	59.32833344	15.8916111	10	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA160_trim_adRm.fq.gz
AA168	1196	163904	0.729695431	0.109210269	0	0.0978	21.64318814	7.595137312	49.98052348	14.33577436	11	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA168_trim_adRm.fq.gz
AA169	5587	382189	1.461842178	0.716399478	35	0.0338	47.11633938	17.80599202	61.17332723	14.26837058	12	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA169_trim_adRm.fq.gz
AA170	1366	669047	0.204171007	0.068903978	4	0.1003	35.96419854	19.2140867	61.39894156	12.84707893	13	31	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA170_trim_adRm.fq.gz
AA184	3928	39970	9.827370528	0.370277708	0	0.7566	21.08995816	10.61404106	66.99326991	14.76674267	1	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA184_trim_adRm.fq.gz
AA185	253	224904	0.112492441	0.017340732	0	0.4387	20.45070423	9.962039628	73.80118598	4.495799889	2	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA185_trim_adRm.fq.gz
AA186	980	24106	4.065377914	0.240603999	0	0.3806	21.98846787	13.62734337	66.68149834	16.26905584	3	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA186_trim_adRm.fq.gz
AA187	825	16535	4.989416389	1.034169943	0	0.4073	31.10838446	17.79144064	60.71868634	16.93426031	4	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA187_trim_adRm.fq.gz
AA189	615	5894	10.43434001	0.7804547	0	0.5398	19.04946996	7.116384905	61.18554477	19.75504787	6	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA189_trim_adRm.fq.gz
AA191	554	8937	6.198948193	0.257357055	1	0.4693	20.10204082	8.294687386	64.76212977	16.81092834	8	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA191_trim_adRm.fq.gz
AA192	884	21989	4.020191914	0.318340989	0	0.3111	23.61412151	14.47617817	70.7673851	12.17422545	9	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA192_trim_adRm.fq.gz
AA193	1194	353342	0.33791624	0.014150596	0	0.3568	36.13020833	23.05226133	73.61986138	5.229074558	10	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA193_trim_adRm.fq.gz
AA195	881	61490	1.432753293	0.037404456	0	0.4075	18.92145594	6.047441948	70.42865322	11.92673362	12	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA195_trim_adRm.fq.gz
AA184	3928	39970	9.827370528	0.370277708	0	0.7566	21.08995816	10.61404106	66.99326991	14.76674267	1	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA184_trim_adRm.fq.gz
AA185	253	224904	0.112492441	0.017340732	0	0.4387	20.45070423	9.962039628	73.80118598	4.495799889	2	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA185_trim_adRm.fq.gz
AA186	980	24106	4.065377914	0.240603999	0	0.3806	21.98846787	13.62734337	66.68149834	16.26905584	3	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA186_trim_adRm.fq.gz
AA187	825	16535	4.989416389	1.034169943	0	0.4073	31.10838446	17.79144064	60.71868634	16.93426031	4	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA187_trim_adRm.fq.gz
AA189	615	5894	10.43434001	0.7804547	0	0.5398	19.04946996	7.116384905	61.18554477	19.75504787	6	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA189_trim_adRm.fq.gz
AA191	554	8937	6.198948193	0.257357055	1	0.4693	20.10204082	8.294687386	64.76212977	16.81092834	8	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA191_trim_adRm.fq.gz
AA192	884	21989	4.020191914	0.318340989	0	0.3111	23.61412151	14.47617817	70.7673851	12.17422545	9	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA192_trim_adRm.fq.gz
AA193	1194	353342	0.33791624	0.014150596	0	0.3568	36.13020833	23.05226133	73.61986138	5.229074558	10	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA193_trim_adRm.fq.gz
AA195	881	61490	1.432753293	0.037404456	0	0.4075	18.92145594	6.047441948	70.42865322	11.92673362	12	33	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA195_trim_adRm.fq.gz
AA386	2394	216898	1.103744617	0.132320261	0	0.2172	20.74172892	5.55922329	45.30782704	12.91670473	1	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA386_trim_adRm.fq.gz
AA387	6348	712597	0.890826091	0.372721187	18	0.0351	35.63542857	15.55053766	50.06355931	14.53834477	2	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA387_trim_adRm.fq.gz
AA388	4227	762276	0.554523558	0.099176676	5	0.0118	22.58271487	7.460041576	47.91006604	13.83561774	3	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA388_trim_adRm.fq.gz
AA389	3661	1181700	0.309807904	0.04950495	0	0.024	20.68905682	4.787112403	51.44600004	14.4416284	4	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA389_trim_adRm.fq.gz
AA390	5599	741932	0.75465137	0.111330958	5	0.0761	22.47071332	8.236860134	54.82094683	16.6060493	5	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA390_trim_adRm.fq.gz
AA391	8219	75828	10.83900406	3.827082344	9	0.2026	34.83277388	9.903831185	48.93297197	16.2200756	6	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA391_trim_adRm.fq.gz
AA392	1325	31781	4.169157673	0.242283125	1	0.2574	19.83943089	6.28005531	58.01304071	19.3435681	7	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA392_trim_adRm.fq.gz
AA393	3747	294203	1.273610398	0.445270782	1	0.2658	41.5303526	15.89764094	55.25431521	12.65805317	8	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA393_trim_adRm.fq.gz
AA394	1119	18678	5.991005461	0.444373059	0	0.5416	25.29824561	17.51870476	63.13722886	16.30974677	9	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA394_trim_adRm.fq.gz
AA395	3827	154343	2.479542318	0.712050433	0	0.2629	30.11875222	10.54986837	50.40959455	15.09747053	10	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA395_trim_adRm.fq.gz
AA396	1142	236438	0.483001886	0.05371387	0	0.2356	20.24513173	4.834122527	50.5205806	13.92127343	11	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA396_trim_adRm.fq.gz
AA397	2025	101513	1.994818398	0.122151843	0	0.4316	19.50564726	3.876541858	54.21765916	16.02127291	12	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA397_trim_adRm.fq.gz
AA398	5936	510620	1.162508323	0.484704869	4	0.0084	33.9682297	11.78959594	45.91577257	11.57095114	13	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA398_trim_adRm.fq.gz
AA386	2394	216898	1.103744617	0.132320261	0	0.2172	20.74172892	5.55922329	45.30782704	12.91670473	1	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA386_trim_adRm.fq.gz
AA387	6348	712597	0.890826091	0.372721187	18	0.0351	35.63542857	15.55053766	50.06355931	14.53834477	2	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA387_trim_adRm.fq.gz
AA388	4227	762276	0.554523558	0.099176676	5	0.0118	22.58271487	7.460041576	47.91006604	13.83561774	3	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA388_trim_adRm.fq.gz
AA389	3661	1181700	0.309807904	0.04950495	0	0.024	20.68905682	4.787112403	51.44600004	14.4416284	4	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA389_trim_adRm.fq.gz
AA390	5599	741932	0.75465137	0.111330958	5	0.0761	22.47071332	8.236860134	54.82094683	16.6060493	5	48	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA390_trim_adRm.fq.gz
