Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA063	471	145308	0.32413907	0.026839541	9	0.2781	21.36470588	11.07853122	66.8491841	10.62844176	8	24	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA063_trim_adRm.fq.gz
AA079	35511	572221	6.20581908	3.633561159	1746	0.8727	54.29115044	16.82950737	63.96179258	12.16004878	1	23	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA079_trim_adRm.fq.gz
AA090	93937	336359	27.92760116	18.67677095	6289	0.8916	48.30881775	15.41514223	56.48796149	14.98769774	7	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA090_trim_adRm.fq.gz
AA093	1427	532304	0.268079894	0.150477922	43	0.8122	30.61567164	19.41093307	66.29488558	10.33560602	9	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA093_trim_adRm.fq.gz
AA094	667	592861	0.112505292	0.021252874	4	0.5817	19.88172043	6.864331952	62.7737264	11.00486839	10	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA094_trim_adRm.fq.gz
AA095	2223	427734	0.519715524	0.328708964	270	0.7161	38.47385103	18.11775059	55.03968865	12.01030181	11	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA095_trim_adRm.fq.gz
AA096	507	46411	1.092413436	0.314580595	107	0.5286	41.24267782	21.92212388	62.43464881	12.07941937	12	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA096_trim_adRm.fq.gz
AA097	65411	828864	7.891644468	5.112901513	4016	0.8523	53.78856906	12.04962925	57.87942352	11.63992134	13	26	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA097_trim_adRm.fq.gz
AA099	1493	17402	8.579473624	5.499367889	150	0.7549	45.81147541	14.24213234	59.47993856	14.62849563	2	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA099_trim_adRm.fq.gz
AA100	551	199741	0.275857235	0.157203579	79	0.755	45.08148148	20.02164942	71.14386053	7.593387136	3	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA100_trim_adRm.fq.gz
AA101	133	22265	0.597350101	0.062878958	12	0.3158	25.94505495	18.93108123	68.57332493	10.71372157	4	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA101_trim_adRm.fq.gz
AA102	209	57274	0.364912526	0.179837273	11	0.7847	30.17777778	16.90923482	63.22773595	11.99902964	5	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA102_trim_adRm.fq.gz
AA103	578	5925	9.755274262	4.759493671	46	0.6401	26.84134615	18.3526597	65.5690369	14.65004246	6	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA103_trim_adRm.fq.gz
AA108	269	150069	0.179250878	0.080629577	13	0.684	25.4	16.02542623	70.97789639	7.259166366	11	27	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA108_trim_adRm.fq.gz
AA122	2259	1657764	0.136267889	0.041441363	49	0.3754	25.80368533	12.99767085	60.07236215	13.30341422	12	28	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA122_trim_adRm.fq.gz
AA124	446	75679	0.589331254	0.121566088	18	0.4753	22.90598291	11.65636955	57.70270449	13.69417526	1	29	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA124_trim_adRm.fq.gz
AA128	32610	505206	6.454792698	4.431657581	155	0.9712	53.55851064	20.46675223	66.00820001	9.873579039	4	29	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA128_trim_adRm.fq.gz
AA129	12424	62112	20.00257599	12.91215868	275	0.8657	52.36908328	13.53024511	59.11274023	12.49568913	5	29	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA129_trim_adRm.fq.gz
AA131	67	1061	6.314797361	5.372290292	35	0.3731	62.33333333	15.25181583	65.78957529	10.61455238	7	29	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA131_trim_adRm.fq.gz
AA135	12	440	2.727272727	1.818181818	7	0.0833	63.90909091	11.05852201	64.12756264	12.55970731	11	29	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA135_trim_adRm.fq.gz
AA140	12810	716050	1.788981216	1.051602542	830	0.9126	50.60714286	14.52516669	65.1142129	10.73064637	3	30	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA140_trim_adRm.fq.gz
AA155	2087	8076	25.84200099	20.047053	120	0.9209	50.56363636	17.44269045	69.8878778	9.933867426	5	31	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA155_trim_adRm.fq.gz
AA158	9447	178393	5.295611375	3.368405711	839	0.8838	50.55919854	14.41773736	63.10520218	12.16911454	8	31	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA158_trim_adRm.fq.gz
AA174	624	45961	1.35767281	0.907290964	124	0.6955	49.35789474	19.84432311	64.34860632	10.77900422	4	32	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA174_trim_adRm.fq.gz
AA179	13474	124653	10.80920636	6.676935172	1337	0.8433	51.90577652	13.78559944	62.94438217	11.94506601	9	32	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA179_trim_adRm.fq.gz
AA182	2160	72149	2.993804488	1.925182608	153	0.8231	38.7539267	21.08107516	69.52935158	9.39661222	12	32	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA182_trim_adRm.fq.gz
AA184	1199	24600	4.87398374	2.548780488	88	0.819	36.34101382	19.41324063	67.70556355	10.65011392	1	33	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA184_trim_adRm.fq.gz
AA186	108	4604	2.345786273	1.303214596	57	0.3426	61.90140845	13.71980313	67.48412525	9.882075154	3	33	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA186_trim_adRm.fq.gz
AA191	49	828	5.917874396	4.22705314	31	0.1633	58.97560976	14.97746274	66.12804878	13.52750352	8	33	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA191_trim_adRm.fq.gz
AA192	63	5879	1.071610818	0.459261779	11	0.5238	33.4	21.77407506	70.49315771	8.393663608	9	33	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA192_trim_adRm.fq.gz
AA197	135	2839	4.755195491	2.817893625	109	0	57.07407407	15.10640352	65.44381825	11.84957975	1	34	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA197_trim_adRm.fq.gz
